City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,richards bay,-28.783,32.0377,58.66,87,97,4.05,ZA,2023-10-31 02:29:49
160,nova sintra,14.8667,-24.7167,74.59,67,72,3.4,CV,2023-10-31 02:25:38
161,san cristobal,7.7669,-72.225,73.58,95,7,1.7,VE,2023-10-31 02:29:49
162,kailua-kona,19.6406,-155.9956,84.97,78,20,13.8,US,2023-10-31 02:26:52
163,solleftea,63.1667,17.2667,21.06,77,100,3.76,SE,2023-10-31 02:29:49
164,jiuquan,39.7432,98.5174,56.48,19,89,3.02,CN,2023-10-31 02:29:49
165,tarko-sale,64.9225,77.785,7.23,95,14,5.14,RU,2023-10-31 02:29:49
166,pitimbu,-7.4706,-34.8086,75.79,77,86,10.76,BR,2023-10-31 02:29:49
167,yangambi,0.8102,24.4336,70.39,96,100,2.57,CD,2023-10-31 02:29:49
168,wanning,18.8003,110.3967,79.48,79,90,13.33,CN,2023-10-31 02:25:41
169,komsomolets,53.7453,62.0708,28.45,95,55,5.66,KZ,2023-10-31 02:29:49
170,atafu village,-8.5421,-172.5159,84.33,73,32,14.58,TK,2023-10-31 02:29:50
171,chu,43.5983,73.7614,54.19,76,100,17.31,KZ,2023-10-31 02:29:50
172,dunedin,-45.8742,170.5036,61.81,72,100,8.99,NZ,2023-10-31 02:29:50
173,kati,12.7441,-8.0726,74.61,46,15,3.51,ML,2023-10-31 02:29:50
174,bich'vinta,43.1592,40.3378,53.78,53,0,7.16,GE,2023-10-31 02:29:50
175,hermanus,-34.4187,19.2345,56.5,80,3,17.87,ZA,2023-10-31 02:24:55
176,januaria,-15.4833,-44.3667,83.88,38,100,2.44,BR,2023-10-31 02:29:50
177,pervomayskoye,43.919,46.7102,57.34,85,0,13.96,RU,2023-10-31 02:27:19
178,calabozo,8.9242,-67.4293,83.07,64,98,5.61,VE,2023-10-31 02:29:50
179,boguchany,58.3814,97.4531,11.86,87,6,4.0,RU,2023-10-31 02:29:50
180,port lincoln,-34.7333,135.8667,60.4,46,33,10.96,AU,2023-10-31 02:27:21
181,ust-nera,64.5667,143.2,9.72,99,100,4.9,RU,2023-10-31 02:29:51
182,la'ie,21.6477,-157.9253,84.16,71,24,5.01,US,2023-10-31 02:27:37
183,kingston,17.997,-76.7936,85.15,84,75,4.61,JM,2023-10-31 02:28:21
184,georgetown,5.4112,100.3354,87.73,82,20,3.44,MY,2023-10-31 02:29:51
185,chibougamau,49.9168,-74.3659,20.82,86,40,5.75,CA,2023-10-31 02:29:51
186,alaghsas,17.0187,8.0168,78.58,14,100,11.52,NE,2023-10-31 02:29:51
187,kirakira,-10.4544,161.9205,84.87,75,39,10.8,SB,2023-10-31 02:25:47
188,dalhousie,32.5333,75.9833,49.53,43,0,6.62,IN,2023-10-31 02:29:51
189,nova xavantina,-14.6667,-52.35,88.34,36,93,3.65,BR,2023-10-31 02:29:51
190,chita,52.0333,113.55,22.89,73,20,6.71,RU,2023-10-31 02:29:51
191,malango,-2.9627,119.9001,84.99,46,30,4.72,ID,2023-10-31 02:29:51
192,shache,38.4167,77.2406,52.72,32,100,6.8,CN,2023-10-31 02:29:52
193,semnan,35.5729,53.3971,60.01,52,98,6.44,IR,2023-10-31 02:29:52
194,kruisfontein,-34.0033,24.7314,50.54,91,0,5.57,ZA,2023-10-31 02:29:52
195,glarus,47.0406,9.068,51.44,38,100,4.14,CH,2023-10-31 02:29:52
196,stanley,54.868,-1.6985,44.76,95,100,2.3,GB,2023-10-31 02:24:46
197,acapulco de juarez,16.8634,-99.8901,80.37,85,20,3.47,MX,2023-10-31 02:29:52
198,antsiranana,-12.2787,49.2917,75.18,84,64,14.54,MG,2023-10-31 02:29:52
199,la ronge,55.1001,-105.2842,12.45,79,0,3.44,CA,2023-10-31 02:29:52
200,antofagasta,-23.65,-70.4,61.88,70,36,5.66,CL,2023-10-31 02:29:52
201,maceio,-9.6658,-35.7353,72.84,94,0,3.44,BR,2023-10-31 02:29:52
202,hilo,19.7297,-155.09,80.33,86,100,6.91,US,2023-10-31 02:24:55
203,mazagao,-0.115,-51.2894,82.45,79,2,5.59,BR,2023-10-31 02:29:53
204,hawaiian paradise park,19.5933,-154.9731,80.11,87,100,6.91,US,2023-10-31 02:29:53
205,sitka,57.0531,-135.33,48.09,81,100,5.75,US,2023-10-31 02:28:30
206,obihiro,42.9172,143.2044,52.21,87,40,3.44,JP,2023-10-31 02:29:53
207,ardesen,41.1911,40.9875,67.84,62,26,3.2,TR,2023-10-31 02:29:53
208,anadyr,64.75,177.4833,34.3,93,40,4.47,RU,2023-10-31 02:29:53
209,nenjiang,49.1833,125.2167,29.34,87,100,6.87,CN,2023-10-31 02:29:53
210,markaz-e hukumat-e darweshan,31.1323,64.1934,65.46,31,6,4.32,AF,2023-10-31 02:29:53
211,recani,31.2846,-4.2688,72.05,31,100,9.73,MA,2023-10-31 02:29:53
212,knyaze-volkonskoye,48.4642,135.4567,41.34,43,98,5.99,RU,2023-10-31 02:29:53
213,iskateley,67.6803,53.1512,20.01,95,90,10.0,RU,2023-10-31 02:29:53
214,kapuskasing,49.4169,-82.4331,21.29,93,0,6.91,CA,2023-10-31 02:29:54
215,lompoc,34.6391,-120.4579,63.93,84,0,10.0,US,2023-10-31 02:29:54
216,kirensk,57.7853,108.1119,18.97,62,100,3.0,RU,2023-10-31 02:29:54
217,newman,37.3138,-121.0208,64.29,36,4,3.49,US,2023-10-31 02:27:22
218,libenge,3.65,18.6333,75.36,88,100,2.68,CD,2023-10-31 02:29:54
219,gordonvale,-17.0936,145.7842,92.91,59,52,7.87,AU,2023-10-31 02:29:54
220,port alfred,-33.5906,26.891,57.74,79,25,14.94,ZA,2023-10-31 02:24:59
221,narvik,68.4384,17.4272,28.81,94,66,4.38,NO,2023-10-31 02:29:54
222,rangia,26.4667,91.6333,76.95,78,60,7.2,IN,2023-10-31 02:29:55
223,contamana,-7.3333,-75.0167,79.9,63,100,2.89,PE,2023-10-31 02:29:55
224,santa ana de yacuma,-13.75,-65.4333,82.67,57,45,8.01,BO,2023-10-31 02:29:55
225,crookston,47.7741,-96.6081,26.71,93,100,29.93,US,2023-10-31 02:29:55
226,sunnyside,46.3237,-120.0087,41.85,75,0,3.44,US,2023-10-31 02:29:55
227,sechura,-5.5569,-80.8222,69.55,79,14,16.08,PE,2023-10-31 02:29:55
228,nemuro,43.3236,145.575,53.1,71,13,11.9,JP,2023-10-31 02:29:55
229,namibe,-15.1961,12.1522,63.95,78,0,4.81,AO,2023-10-31 02:29:55
230,havran,39.5583,27.0983,56.82,94,0,1.14,TR,2023-10-31 02:29:55
231,magadan,59.5667,150.8,25.54,74,69,7.74,RU,2023-10-31 02:25:19
232,uturoa,-16.7333,-151.4333,79.7,79,8,17.9,PF,2023-10-31 02:29:56
233,taoudenni,22.6783,-3.9836,85.55,11,5,8.5,ML,2023-10-31 02:24:45
234,decazeville,44.5605,2.2509,53.11,97,89,2.35,FR,2023-10-31 02:29:56
235,ciudad lazaro cardenas,17.9583,-102.2,79.99,86,13,3.94,MX,2023-10-31 02:25:40
236,beshkent,38.8214,65.6531,59.18,58,0,11.5,UZ,2023-10-31 02:29:56
237,ulan bator,47.9077,106.8832,24.93,80,75,6.71,MN,2023-10-31 02:26:43
238,kodiak,57.79,-152.4072,45.91,93,100,8.05,US,2023-10-31 02:29:56
239,kismayo,-0.3582,42.5454,79.59,81,19,7.27,SO,2023-10-31 02:26:44
240,aras-asan,8.8908,126.3033,84.49,69,100,5.21,PH,2023-10-31 02:29:56
241,san carlos de bariloche,-41.1456,-71.3082,35.35,87,75,4.61,AR,2023-10-31 02:29:56
242,rincon,32.296,-81.2354,69.85,88,20,4.61,US,2023-10-31 02:29:56
243,hadibu,12.65,54.0333,79.05,76,97,10.33,YE,2023-10-31 02:24:51
244,puerto deseado,-47.7503,-65.8938,39.67,59,21,13.76,AR,2023-10-31 02:29:57
245,vorkuta,67.5,64.0,13.86,95,100,8.93,RU,2023-10-31 02:29:57
246,san martin,-33.081,-68.4681,57.74,22,2,14.88,AR,2023-10-31 02:29:57
